id;district;category;name;phones;add_phone;;iddistrictcategorynamephonesadd_phone
317;Петроградский;Аварийно-диспетчерские службы;Работа общественного транспорта;{+7(812)5765555};NULL;;
318;Петроградский;Аварийно-диспетчерские службы;Центр по приёму обращений граждан по всем вопросам, связанным с качеством оказываемых услуг ЖКХ;{004};NULL;;
319;Петроградский;Правоохранительные органы;Телефон справочной службы ГУ МВД;{+7(812)5732676};NULL;;
320;Петроградский;Правоохранительные органы;Дежурная часть УМВД России по Петроградскому району;{+7(812)5734420,+7(812)2330202};NULL;;
321;Петроградский;Правоохранительные органы;Дежурная часть ОГИБДД УМВД России по Петроградскому району;{+7(812)5734635};NULL;;
322;Петроградский;Судебные органы;Санкт-Петербургский городской суд;{+7(812)4595966};NULL;;
323;Петроградский;Судебные органы;Прокуратура Петроградского района;{+7(812)2327293};NULL;;
324;Петроградский;Здравоохранение;Территориальный фонд ОМС Санкт-Петербурга;{+7(812)7037301};NULL;;
325;Петроградский;Здравоохранение;Контакт-центр в сфере ОМС СПб;{+7(812)7037301,+7(804)7009103};NULL;;
326;Петроградский;Здравоохранение;Справка о наличии лекарств в городе;{+7(812)6355566};NULL;;
327;Петроградский;Здравоохранение;Горячая линия Комитета по здравоохранению;{+7(812)6355577};NULL;;
328;Петроградский;Здравоохранение;Телефон претензий по работе городской скорой помощи;{+7(812)5714504};NULL;;
329;Петроградский;Образование;Горячая линия по вопросам дошкольного образования Петроградского района;{+7(931)3266869};NULL;;
330;Петроградский;Образование;Горячая линия по вопросам общего образования Петроградского района;{+7(931)3269231};NULL;;
331;Петроградский;Образование;Горячая линия по государственной итоговой аттестации Петроградского района;{+7(931)3269120};NULL;;
332;Петроградский;Образование;Горячая линия «Питание школьников Петроградского района»;{+7(931)3266825};NULL;;
333;Петроградский;Образование;Горячая линия по вопросам отдыха и оздоровления детей Петроградского района;{+7(931)3261738};NULL;;
334;Петроградский;Образование;Горячая линия по вопросам приёма в школы Петроградского района;{+7(931)3262641};NULL;;
335;Петроградский;Социальная защита населения;Информационно-справочная телефонная служба социальной защиты населения;{+7(812)3344144};NULL;;
336;Петроградский;Социальная защита населения;Отдел социальной защиты населения Петроградского района;{+7(812)5765157};NULL;;
337;Петроградский;Социальная защита населения;Социальный фонд России;{+7(812)6778717};NULL;;
338;Петроградский;Права потребителя;Единый консультационный центр Роспотребнадзора;{+7(800)5554943};NULL;;
339;Петроградский;Права потребителя;Консультационный центр по защите прав потребителей;{+7(812)6796707,+7(812)5716200};NULL;;
341;Петродворцовый;Аварийно-диспетчерские службы;Дежурный помощник главы администрации;{+7(812)4506626};NULL;;
342;Петродворцовый;Аварийно-диспетчерские службы;Горячая линия ГУП «Водоканал Санкт-Петербурга»;{+7(812)3050909};NULL;;
343;Петродворцовый;Аварийно-диспетчерские службы;Информационный центр ООО «Петербургтеплоэнерго»;{+7(812)4505253};NULL;;
344;Петродворцовый;Аварийно-диспетчерские службы;Работа общественного транспорта;{+7(812)5765555};NULL;;
345;Петродворцовый;Аварийно-диспетчерские службы;Центр по приёму обращений граждан по всем вопросам, связанным с качеством оказываемых услуг ЖКХ;{004};NULL;;
346;Петродворцовый;Аварийно-диспетчерские службы;ООО «Жилкомсервис» г. Петродворца;{+7(812)4506816};NULL;;
347;Петродворцовый;Аварийно-диспетчерские службы;ООО «Жилкомсервис» г. Ломоносова;{+7(812)4223324,+7(812)4227642};NULL;;
348;Петродворцовый;Правоохранительные органы;Телефон справочной ГУ МВД;{+7(812)5732676};NULL;;
349;Петродворцовый;Правоохранительные органы;Дежурная часть ОМВД России по Петродворцовому району;{+7(812)5735250};NULL;;
350;Петродворцовый;Правоохранительные органы;Дежурная часть ГИБДД;{+7(812)2349021};NULL;;
351;Петродворцовый;Судебные органы;Санкт-Петербургский городской суд;{+7(812)4595966};NULL;;
352;Петродворцовый;Судебные органы;Петродворцовый суд;{+7(812)4206419};NULL;;
353;Петродворцовый;Судебные органы;Прокуратура Петродворцового района;{+7(812)4227873};NULL;;
354;Петродворцовый;Здравоохранение;Территориальный фонд ОМС Санкт-Петербурга;{+7(812)7037301};NULL;;
355;Петродворцовый;Здравоохранение;Справка о наличии лекарств в городе;{+7(812)6355566};NULL;;
356;Петродворцовый;Здравоохранение;Горячая линия Комитета по здравоохранению;{+7(812)6355577};NULL;;
357;Петродворцовый;Образование;Горячая линия Комитета по образованию;{+7(812)5762019};NULL;;
358;Петродворцовый;Социальная защита населения;Центр организации социального обслуживания населения;{+7(812)5760578,+7(812)5760576};NULL;;
359;Петродворцовый;Социальная защита населения;Отдел социальной защиты населения Петродворцового района;{+7(812)5761709};NULL;;
360;Петродворцовый;Социальная защита населения;Горячая линия отделения Пенсионного фонда;{+7(812)2928592};NULL;;
361;Петродворцовый;Права потребителя;Юго-западный территориальный отдел управления Роспотребнадзора по городу Санкт-Петербургу (Московский, Фрунзенский, Пушкинский, Колпинский, Кировский, Красносельский, Петродворцовый районы);{+7(812)7277220};NULL;;
362;Петродворцовый;Права потребителя;Единый консультационный центр Роспотребнадзора;{+7(800)5554943};NULL;;
363;Петродворцовый;Права потребителя;Городской отдел защиты прав потребителей;{+7(812)5758110,+7(812)5758188};NULL;;
364;Петродворцовый;Права потребителя;Управление отдела надзора за продукцией в обороте;{+7(812)7645587,+7(812)5758359};NULL;;
365;Петродворцовый;Права потребителя;Центр отдела гигиены питания;{+7(812)5717645};NULL;;
366;Приморский;Аварийно-диспетчерские службы;Дежурная служба администрации;{+7(812)4304248};NULL;;
367;Приморский;Аварийно-диспетчерские службы;Повреждения водопроводной уличной сети (холодная вода);{+7(812)3050909};NULL;;
368;Приморский;Аварийно-диспетчерские службы;Повреждения водопроводной уличной сети (горячая вода);{+7(812)6019393};NULL;;
369;Приморский;Аварийно-диспетчерские службы;Горячая линия ГУП «Водоканал Санкт-Петербурга»;{+7(812)3050909};NULL;;
370;Приморский;Аварийно-диспетчерские службы;Горячая линия ГРО «ПетербургГаз» (со стационарного телефона);{04};NULL;;
371;Приморский;Аварийно-диспетчерские службы;Горячая линия ГРО «ПетербургГаз» (с мобильного телефона);{104};NULL;;
372;Приморский;Аварийно-диспетчерские службы;Диспетчерский центр ГУП «Ленсвет»;{+7(812)3129594};NULL;;
373;Приморский;Аварийно-диспетчерские службы;Информационный центр ГУП «ТЭК СПб»;{+7(812)6019393};NULL;;
374;Приморский;Аварийно-диспетчерские службы;Горячая линия ПАО «РоссетиЛенЭнерго»;{+7(800)2200220};NULL;;
375;Приморский;Аварийно-диспетчерские службы;Работа общественного транспорта;{+7(812)5765555};NULL;;
376;Приморский;Аварийно-диспетчерские службы;Центр по приёму обращений граждан по всем вопросам, связанным с качеством оказываемых услуг ЖКХ;{004};NULL;;
377;Приморский;Правоохранительные органы;Телефон справочной ГУ МВД;{+7(812)5732676};NULL;;
378;Приморский;Правоохранительные органы;Дежурная часть УМВД России по Приморскому району;{+7(812)5735902};NULL;;
379;Приморский;Правоохранительные органы;Информационно-справочный телефон УГИБДД по Санкт-Петербургу и Ленинградской области;{+7(812)5732764};NULL;;
380;Приморский;Судебные органы;Приморский районный суд;{+7(812)4309377,+7(812)4309388};NULL;;
381;Приморский;Судебные органы;Прокуратура Приморского района;{+7(812)4398532};NULL;;
382;Приморский;Здравоохранение;Территориальный фонд ОМС Санкт-Петербурга;{+7(812)7037301};NULL;;
383;Приморский;Здравоохранение;Горячая линия Санкт-Петербургского регионального отделения Фонда социального страхования РФ;{+7(812)6778717};NULL;;
384;Приморский;Здравоохранение;Справочная служба о наличии лекарств в городе;{+7(812)2461111};NULL;;
385;Приморский;Здравоохранение;Горячая линия Комитета по здравоохранению;{+7(812)6355577};NULL;;
386;Приморский;Здравоохранение;Телефон претензий по работе городской скорой помощи;{+7(812)5714504};NULL;;
387;Приморский;Образование;Горячая линия Комитета по образованию;{+7(812)2465548};NULL;;
388;Приморский;Социальная защита населения;Информационно-справочная телефонная служба социальной защиты населения;{+7(812)3344144};NULL;;
389;Приморский;Социальная защита населения;Отдел социальной защиты населения Приморского района;{+7(812)2460193,+7(812)2460192,+7(812)2460191,+7(812)2460268};NULL;;
390;Приморский;Социальная защита населения;Пенсионный фонд;{+7(800)6000000};NULL;;
391;Приморский;Права потребителя;Территориальный отдел управления Роспотребнадзора в Петроградском, Приморском, Курортном и Кронштадтском районах;{+7(812)2328081};NULL;;
392;Приморский;Права потребителя;Единый консультационный центр Роспотребнадзора;{+7(800)5554943};NULL;;
393;Пушкинский;Аварийно-диспетчерские службы;Дежурный помощник главы администрации;{+7(812)4174452};NULL;;
394;Пушкинский;Аварийно-диспетчерские службы;Повреждения водопроводной уличной сети (холодная вода);{+7(812)3050909};NULL;;
395;Пушкинский;Аварийно-диспетчерские службы;Повреждения водопроводной уличной сети (горячая вода);{+7(812)4664800,+7(812)3151313};NULL;;
396;Пушкинский;Аварийно-диспетчерские службы;Горячая линия ГУП «Водоканал Санкт-Петербурга»;{+7(812)3050909};NULL;;
397;Пушкинский;Аварийно-диспетчерские службы;Горячая линия ГРО «ПетербургГаз»;{+7(812)6140404};NULL;;
398;Пушкинский;Аварийно-диспетчерские службы;Горячая линия информационного центра ГУП «ТЭК СПб»;{+7(812)6019393};NULL;;
399;Пушкинский;Аварийно-диспетчерские службы;Работа общественного транспорта;{+7(812)5765555};NULL;;
400;Пушкинский;Аварийно-диспетчерские службы;Центр по приёму обращений граждан по всем вопросам, связанным с качеством оказываемых услуг ЖКХ;{004};NULL;;
401;Пушкинский;Аварийно-диспетчерские службы;Уборка внутриквартальных территорий (ГКУ «Жилищное агентство Пушкинского района»);{+7(812)2413980};NULL;;
402;Пушкинский;Правоохранительные органы;Телефон справочной ГУ МВД;{+7(812)5732676};NULL;;
403;Пушкинский;Правоохранительные органы;Телефон доверия ГУ МВД;{+7(812)5732181};NULL;;
404;Пушкинский;Правоохранительные органы;Дежурная часть ОМВД России по Пушкинскому району;{+7(812)5731890,+7(812)4700202};NULL;;
405;Пушкинский;Правоохранительные органы;Дежурная часть ОГИБДД ОМВД России по Пушкинскому району Санкт-Петербурга;{+7(812)4664872};NULL;;
406;Пушкинский;Правоохранительные органы;Управление ФСБ РФ по Санкт-Петербургу и Ленинградской области (отдел по Московскому, Пушкинскому и Колпинскому районам);{+7(812)3739073};NULL;;
407;Пушкинский;Судебные органы;Пушкинский районный суд города Санкт-Петербурга;{+7(812)4516367};NULL;;
408;Пушкинский;Судебные органы;Прокуратура Пушкинского района;{+7(812)4768569};NULL;;
409;Пушкинский;Здравоохранение;Территориальный фонд ОМС Санкт-Петербурга;{+7(812)7037310};NULL;;
410;Пушкинский;Здравоохранение;Справка о наличии лекарств в городе;{+7(812)6355566};NULL;;
411;Пушкинский;Здравоохранение;Горячая линия Комитета по здравоохранению (для взрослых);{+7(812)6355577};NULL;;
412;Пушкинский;Здравоохранение;Горячая линия Комитета по здравоохранению (для детей);{+7(812)6707801};NULL;;
413;Пушкинский;Здравоохранение;Единый номер виртуального контактного центра Пушкинского района;{+7(812)2469916};NULL;;
414;Пушкинский;Здравоохранение;Едина городская справочная служба;{122};NULL;;
415;Пушкинский;Здравоохранение;Городская справочная служба «Здоровье города» (многоканальный);{+7(812)6355563};NULL;;
416;Пушкинский;Здравоохранение;Телефон претензий по работе городской скорой помощи;{+7(812)5714504};NULL;;
417;Пушкинский;Образование;Горячая линия Комитета по образованию;{+7(812)2465548};NULL;;
418;Пушкинский;Социальная защита населения;Информационно-справочная телефонная служба системы социальной защиты населения;{+7(812)3344144};NULL;;
419;Пушкинский;Социальная защита населения;Отдел социальной защиты населения администрации Пушкинского района;{+7(812)2414328};NULL;;
420;Пушкинский;Социальная защита населения;Региональный контакт-центр Социального фонда России;{+7(800)1000001};NULL;;
421;Пушкинский;Социальная защита населения;Справочная Социального фонда России (региональное отделение);{+7(812)6778717};NULL;;
422;Пушкинский;Права потребителя;Юго-западный территориальный отдел управления Роспотребнадзора в Московском, Фрунзенском, Пушкинском, Колпинском, Кировском, Красносельском, Петродворцовом районах;{+7(812)7277220};NULL;;
423;Фрунзенский;Аварийно-диспетчерские службы;Дежурный помощник главы администрации;{+7(812)7096170};NULL;;
424;Фрунзенский;Аварийно-диспетчерские службы;Повреждения водопроводной уличной сети (холодная вода);{+7(812)3050909};NULL;;
425;Фрунзенский;Аварийно-диспетчерские службы;Повреждения водопроводной уличной сети (горячая вода);{+7(812)3151313};NULL;;
426;Фрунзенский;Аварийно-диспетчерские службы;Горячая линия ГУП «Водоканал Санкт-Петербурга»;{+7(812)3050909};NULL;;
427;Фрунзенский;Аварийно-диспетчерские службы;Горячая линия ГРО «ПетербургГаз»;{+7(812)6100404};NULL;;
428;Фрунзенский;Аварийно-диспетчерские службы;Горячая линия ГУП «ТЭК СПб»;{+7(812)6019393};NULL;;
429;Фрунзенский;Аварийно-диспетчерские службы;Работа общественного транспорта;{+7(812)5765555};NULL;;
430;Фрунзенский;Аварийно-диспетчерские службы;Центр по приёму обращений граждан по всем вопросам, связанным с качеством оказываемых услуг ЖКХ;{004};NULL;;
431;Фрунзенский;Правоохранительные органы;Телефон справочной ГУ МВД;{+7(812)5732676};NULL;;
432;Фрунзенский;Правоохранительные органы;Дежурная часть УМВД России по Фрунзенскому району;{+7(812)7660202};NULL;;
433;Фрунзенский;Правоохранительные органы;Дежурная часть ГИБДД;{+7(812)2349021,+7(812)5736379};NULL;;
434;Фрунзенский;Судебные органы;Санкт-Петербургский городской суд;{+7(812)4595966};NULL;;
435;Фрунзенский;Судебные органы;Прокуратура Фрунзенского района;{+7(812)7088130};NULL;;
436;Фрунзенский;Здравоохранение;Территориальный фонд ОМС Санкт-Петербурга;{+7(812)7037301};NULL;;
437;Фрунзенский;Здравоохранение;Контакт-центр;{+7(800)7008603};NULL;;
438;Фрунзенский;Здравоохранение;Справка о наличии лекарств в городе;{+7(812)6355566};NULL;;
439;Фрунзенский;Здравоохранение;Дежурная аптека;{+7(812)3145401};NULL;;
440;Фрунзенский;Здравоохранение;Горячая линия Комитета по здравоохранению;{+7(812)6355577};NULL;;
441;Фрунзенский;Здравоохранение;Телефон претензий по работе городской скорой помощи;{+7(812)5714504};NULL;;
442;Фрунзенский;Образование;Горячая линия Комитета по образованию;{+7(812)5762019};NULL;;
443;Фрунзенский;Социальная защита населения;Информационно-справочная телефонная служба социальной защиты населения;{+7(812)3344144};NULL;;
444;Фрунзенский;Социальная защита населения;Отдел социальной защиты населения Фрунзенского района;{+7(812)4172801};NULL;;
445;Фрунзенский;Социальная защита населения;Пенсионный фонд во Фрунзенском районе;{+7(812)4900777};NULL;;
446;Фрунзенский;Права потребителя;Территориальный отдел управления Роспотребнадзора в Московском, Фрунзенском, Пушкинском, Колпинском районах;{+7(812)7277220};NULL;;
447;Фрунзенский;Права потребителя;Городской отдел защиты прав потребителей;{+7(812)5758110};NULL;;
448;Центральный;Аварийно-диспетчерские службы;Дежурный помощник главы администрации;{+7(812)2742310};NULL;;
449;Центральный;Аварийно-диспетчерские службы;Повреждения водопроводной уличной сети (холодная вода);{+7(812)3050909};NULL;;
450;Центральный;Аварийно-диспетчерские службы;Горячая линия ГУП «Водоканал Санкт-Петербурга»;{+7(812)3050909};NULL;;
451;Центральный;Аварийно-диспетчерские службы;Горячая линия ГРО «ПетербургГаз»;{+7(812)6100404,04};NULL;;
452;Центральный;Аварийно-диспетчерские службы;Диспетчерская служба АО «Теплосеть СПб»;{+7(812)9018191};NULL;;
453;Центральный;Аварийно-диспетчерские службы;Работа общественного транспорта;{+7(812)5765555};NULL;;
454;Центральный;Аварийно-диспетчерские службы;Центр по приёму обращений граждан по всем вопросам, связанным с качеством оказываемых услуг ЖКХ;{004};NULL;;
455;Центральный;Аварийно-диспетчерские службы;СПб ГКУ «Жилищное агентство Центрального района Санкт-Петербурга» (по вопросам ЖКХ);{+7(812)2721144};NULL;;
456;Центральный;Правоохранительные органы;Телефон справочной ГУ МВД;{+7(812)5732676};NULL;;
457;Центральный;Правоохранительные органы;Телефон доверия ГУ МВД;{+7(812)5732181};NULL;;
458;Центральный;Правоохранительные органы;Дежурная часть УМВД России по Центральному району;{+7(812)5734880};NULL;;
459;Центральный;Правоохранительные органы;Телефон справочной ГИБДД;{+7(812)5732764};NULL;;
460;Центральный;Правоохранительные органы;Телефон по вопросам ДТП;{+7(812)5732764};NULL;;
461;Центральный;Судебные органы;Санкт-Петербургский городской суд;{+7(812)4595966,+7(812)4595958,+7(812)4595954};NULL;;
462;Центральный;Судебные органы;Прокуратура Санкт-Петербурга;{+7(812)3182612};NULL;;
463;Центральный;Судебные органы;Прокуратура Санкт-Петербурга (дежурный прокурор);{+7(812)3154853};NULL;;
464;Центральный;Здравоохранение;Территориальный фонд ОМС Санкт-Петербурга;{+7(812)7037301};NULL;;
465;Центральный;Здравоохранение;Региональная линия социального страхования граждан г. Санкт-Петербурга и Ленинградской области;{+7(812)6778717};NULL;;
466;Центральный;Здравоохранение;Справка о наличии лекарств в городе;{+7(812)2461111};NULL;;
467;Центральный;Здравоохранение;Горячая линия Комитета по здравоохранению;{+7(812)6355577};NULL;;
468;Центральный;Образование;Горячая линия Комитета по образованию;{+7(812)5762019};NULL;;
469;Центральный;Социальная защита населения;Информационно-справочная телефонная служба Комитета по социальной политике Санкт-Петербурга;{+7(812)3344144};NULL;;
470;Центральный;Социальная защита населения;Отдел социальной защиты населения Центрального района;{+7(812)4174884};NULL;;
471;Центральный;Социальная защита населения;Региональная линия Социального фонда России по Санкт-Петербургу и Ленинградской области;{+7(812)6778717};NULL;;
472;Центральный;Права потребителя;Горячая линия Роспотребнадзора;{+7(800)5554943};NULL;;
